resume_text,category

"frontend developer with html css javascript react and responsive design experience","Web Development"
"built web applications using react node js mongodb full stack development","Web Development"
"ui developer with strong css javascript bootstrap and frontend skills","Web Development"
"web developer experienced in html css javascript and api integration","Web Development"
"react developer building modern user interfaces with javascript and css","Web Development"

"data scientist skilled in python machine learning pandas numpy and data analysis","Data Science"
"developed predictive models using python scikit-learn and deep learning","Data Science"
"analyzed datasets using pandas numpy and visualization tools matplotlib seaborn","Data Science"
"machine learning engineer with experience in ai models and data processing","Data Science"
"worked on natural language processing and deep learning using python","Data Science"

"backend developer with java spring boot rest api and database management","Backend Developer"
"developed scalable backend systems using java spring and sql","Backend Developer"
"api developer experienced in backend services java and microservices architecture","Backend Developer"
"server side developer with experience in spring boot and database systems","Backend Developer"
"backend engineer working with java sql and rest apis","Backend Developer"

"android developer with kotlin java and mobile application development experience","Android Developer"
"built android apps using kotlin firebase and api integration","Android Developer"
"mobile app developer experienced in android studio kotlin and ui design","Android Developer"
"developed android applications with java kotlin and firebase backend","Android Developer"
"android engineer skilled in kotlin java and mobile ui development","Android Developer"
